Oznaèení TSP	TSP	Oznaèení PSP	PSP	Skupina parametrù	Parametr	STUDIE	DUR	DSP	DPS	RDS	MSPS	Popis parametru	Guid	Datovı typ	Jednotka	IFC název	IFC Pset	Revit - systémové parametry	Revit - sdílené parametry	ArchiCAD	Allplan	Tekla	POZEMNÍ STAVBA	ARS	STA	PBR	PRT	KAN	VOD	PLN	UTCH	VZT	SIL	SLB	MAR	SHZ	EPS	OTK	GHZ	SILNIÈNÍ STAVBA	000	100	200	300	400	500	600	700	800	ELEZNIÈNÍ STAVBA	ISR
NS	Násyp	01	Zemina	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	01	Zemina	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	01	Zemina	Technické informace	Materiál							Materiálová specifikace prvku.	bd43e73e-8df9-40e7-a9bb-db9dc568768e	string	TEXT	ConstructionMaterial		Materiál	MATERIÁL				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	01	Zemina	Technické informace	Frakce							Frakce pouitého kameniva uvedená v mm.	208f7463-375d-49a0-85d0-f9900f2e1fe7	string	SEZNAM (TEXT)	GravelFraction			FRAKCE				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	01	Zemina	Technické informace	Míra zhutnìní							Zhutnìní dle Proctorovy køivky.	722c47b6-89b4-431d-901e-a07b590ade6c	number	%				MÍRA ZHUTNÌNÍ				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	01	Zemina	Základní informace	Traovı úsek								11d98a57-ef6d-4fb0-ba80-4bd930b4f56c	string	TEXT																																			x	
NS	Násyp	01	Zemina	Technické informace	Stanièení od								7d433a45-745f-44a3-a0cf-8ae25b6384ed	number	km																																			x	
NS	Násyp	01	Zemina	Technické informace	Stanièení do								6b9fae73-4500-4e12-b287-ac7b56b0072e	number	km																																			x	
NS	Násyp	01	Zemina	Správa a údrba	Uloení dokumentace							Odkaz na konkrétní uloení dokladù k danému prvku (url odkaz, cesta na disk, apod.)	1d882029-44f0-484e-8abf-5bcb273832ac	url	url	DocumentationLocation			ULOENÍ DOKUMENTACE																															x	
NS	Násyp	01	Zemina	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																x		x	x	x	x	x	x	x	x	x	
